id,doi,title,created,revision,downloads,views,unique_downloads,unique_views
11094339,10.5281/zenodo.11094339,AEADataEditor/docker-aer-2023-0700: Docker image for software stack used in AER-2023-0700,2024-04-30T17:21:40.848965+00:00,6,18,89,18,83
10848594,10.5281/zenodo.10848594,Data and Code for: Temporal Aggregation for the Synthetic Control Method,2024-04-09T13:00:26.917995+00:00,4,61,55,50,54
10785278,10.5281/zenodo.10785278,Data and Code for: Real-Time Pricing and the Cost of Clean Power,2024-03-12T11:17:48.420885+00:00,4,497,290,309,283
8006639,10.5281/zenodo.8006639,"Data and Code for: ""Information and Spillovers from Targeting Policy in Peru's Anchoveta Fishery""",2023-06-05T15:04:44.225518+00:00,6,40,301,36,265
7806735,10.5281/zenodo.7806735,Replication package for Occupational Exposure to Capital Embodied Technical Change,2023-04-06T20:15:31.588952+00:00,3,174,433,128,386
7783635,10.5281/zenodo.7783635,julicaunedo/Data and Code for: Occupational Exposure to Capital Embodied Technical Change,2023-03-30T02:29:10.932810+00:00,2,48,197,43,176
7405356,10.5281/zenodo.7405356,"Data for: ""Market Power and Price Exposure: Learning from Changes in Renewable Energy Regulation""",2022-12-06T15:38:08.715801+00:00,7,81,265,63,245
6568295,10.5281/zenodo.6568295,Precios Claros (2016-05 - 2018-03),2022-05-24T17:50:20.540876+00:00,4,11106,270,7070,252
5830968,10.5281/zenodo.5830968,USGS National Map 3DEP 1 Arc-second Digital Elevation Models (DEMs): Full Coverage for U.S. Interstate Highway System,2022-01-19T19:42:21.208966+00:00,4,7120,342,3739,317
5823387,10.5281/zenodo.5823387,National Wetlands Inventory of the United States - State and Substate Shapefiles,2022-01-05T22:23:48.162106+00:00,5,624,272,343,259
5172755,10.5281/zenodo.5172755,"Data Storage for Baylis and Boomhower (2022): Fire Characteristics, Expenditures, and Other Miscellaneous Datasets",2021-12-04T01:20:35.435992+00:00,9,155,81,102,70
5172939,10.5281/zenodo.5172939,"Data Storage for Baylis and Boomhower (2022): LANDFIRE Aspect, Elevation, Slope, and Anderson 13 Fuel Models",2021-12-04T01:20:25.892215+00:00,10,12,293,11,281
5521370,10.5281/zenodo.5521370,Presentation: Firm-Academic Research Collaborations in Economics - Journals' Perspective,2021-09-22T13:38:19.416559+00:00,4,59,78,51,71
4317553,10.5281/zenodo.4317553,Global daily Aerosol Optical Depth measurements from Moderate Resolution Imaging Spectroradiometer (MODIS) on NASA's Aqua and Terra satellites,2021-08-27T13:56:25.570658+00:00,7,22220,507,4902,474
5151203,10.5281/zenodo.5151203,"Code for ""How Contagious was the Panic of 1907? New Evidence from Trust Company Stocks""",2021-08-01T08:05:49.101611+00:00,5,76,189,62,163
10440397,10.5281/zenodo.10440397,The Paradox of Innovation Non-Disclosure: Evidence from Licensing Contracts - Miscellaneous Public Data,2023-12-29T03:18:49.938696+00:00,6,12,11,12,9
10408818,10.5281/zenodo.10408818,"The Paradox of Innovation Non-Disclosure: Evidence from Licensing Contracts (edgar log, batch 6)",2023-12-23T14:05:00.933071+00:00,6,14,94,14,92
10403941,10.5281/zenodo.10403941,"The Paradox of Innovation Non-Disclosure: Evidence from Licensing Contracts (edgar log, batch 1)",2023-12-23T12:34:18.905976+00:00,12,14,72,14,66
10404858,10.5281/zenodo.10404858,"The Paradox of Innovation Non-Disclosure: Evidence from Licensing Contracts (edgar log, batch 5)",2023-12-23T12:31:30.035884+00:00,6,45,13,44,10
10404834,10.5281/zenodo.10404834,"The Paradox of Innovation Non-Disclosure: Evidence from Licensing Contracts (edgar log, batch 2)",2023-12-23T12:25:15.680049+00:00,10,17,78,17,74
10404846,10.5281/zenodo.10404846,"The Paradox of Innovation Non-Disclosure: Evidence from Licensing Contracts (edgar log, batch 4)",2023-12-23T12:25:11.018024+00:00,6,77,13,65,11
10408820,10.5281/zenodo.10408820,"The Paradox of Innovation Non-Disclosure: Evidence from Licensing Contracts (edgar log, batch 7)",2023-12-23T12:23:28.667483+00:00,8,14,81,14,77
10426559,10.5281/zenodo.10426559,The Paradox of Innovation Non-Disclosure: Evidence from Licensing Contracts (patent data),2023-12-23T12:22:54.303051+00:00,6,272,50,272,47
